token_id,most_similar_token,similarity_score,top5_similar
0,107,0.5787716430387417,"[(107, np.float64(0.5787716430387417)), (95, np.float64(0.5697583634638366)), (41, np.float64(0.5490989950935312)), (127, np.float64(0.5419682546096012)), (126, np.float64(0.5283054945874256))]"
1,20,0.6990691570898138,"[(20, np.float64(0.6990691570898138)), (100, np.float64(0.6106164422570771)), (126, np.float64(0.5135156804349694)), (97, np.float64(0.47442768962814)), (22, np.float64(0.45975355015432645))]"
2,27,0.5150633405065121,"[(27, np.float64(0.5150633405065121)), (70, np.float64(0.5078087819328567)), (17, np.float64(0.46353705475064155)), (123, np.float64(0.45446861667154315)), (68, np.float64(0.421775115970219))]"
3,48,0.6203502252641664,"[(48, np.float64(0.6203502252641664)), (31, np.float64(0.5781518597813285)), (62, np.float64(0.5542728115567576)), (57, np.float64(0.5512810430499233)), (51, np.float64(0.5379162822677838))]"
4,39,0.7577803246753755,"[(39, np.float64(0.7577803246753755)), (104, np.float64(0.713668022659883)), (107, np.float64(0.49592987297422175)), (19, np.float64(0.4861251816586877)), (86, np.float64(0.4732840608372464))]"
5,75,0.9938966089102635,"[(75, np.float64(0.9938966089102635)), (94, np.float64(0.8565690382587118)), (80, np.float64(0.4325423455292857)), (81, np.float64(0.35101764372335276)), (8, np.float64(0.32039221404953594))]"
6,24,0.49166213123339264,"[(24, np.float64(0.49166213123339264)), (50, np.float64(0.42500222162872364)), (88, np.float64(0.3328997184972585)), (79, np.float64(0.33103042289563894)), (27, np.float64(0.32819516479422445))]"
7,113,0.9335476621373185,"[(113, np.float64(0.9335476621373185)), (26, np.float64(0.43603788576284624)), (99, np.float64(0.4026662498123763)), (112, np.float64(0.3735801603630979)), (33, np.float64(0.3709732093626485))]"
8,79,0.5485731075292165,"[(79, np.float64(0.5485731075292165)), (95, np.float64(0.5330310643657669)), (109, np.float64(0.5166515649806396)), (106, np.float64(0.49180293801280045)), (105, np.float64(0.47814592421247243))]"
9,112,0.5860276548524574,"[(112, np.float64(0.5860276548524574)), (79, np.float64(0.5266162364943374)), (126, np.float64(0.5246803502883111)), (21, np.float64(0.5101866669495998)), (32, np.float64(0.48640846924192316))]"
10,37,0.5621097608024783,"[(37, np.float64(0.5621097608024783)), (36, np.float64(0.5530174071267954)), (92, np.float64(0.4246396819884884)), (89, np.float64(0.4062959860754978)), (24, np.float64(0.3728984659779595))]"
11,97,0.3456291065000072,"[(97, np.float64(0.3456291065000072)), (118, np.float64(0.2679268279377925)), (22, np.float64(0.22706235583083526)), (44, np.float64(0.16071305913981046)), (1, np.float64(0.1325105666773444))]"
12,107,0.32860285103472886,"[(107, np.float64(0.32860285103472886)), (117, np.float64(0.2973691998462379)), (8, np.float64(0.29348804909965337)), (95, np.float64(0.2685166176124155)), (108, np.float64(0.2615756042073832))]"
13,73,0.9990045380773599,"[(73, np.float64(0.9990045380773599)), (14, np.float64(0.29544782781632023)), (97, np.float64(0.27016641348186443)), (56, np.float64(0.20970421083970944)), (68, np.float64(0.17500934534310197))]"
14,36,0.35424082456419576,"[(36, np.float64(0.35424082456419576)), (23, np.float64(0.34221314423946725)), (121, np.float64(0.296784872612638)), (95, np.float64(0.2958617656543816)), (13, np.float64(0.29544782781632023))]"
15,20,0.34933027493743235,"[(20, np.float64(0.34933027493743235)), (8, np.float64(0.2592686918355742)), (95, np.float64(0.2576265111702178)), (69, np.float64(0.21138405521194512)), (104, np.float64(0.20049534115755266))]"
16,27,0.5476296911916474,"[(27, np.float64(0.5476296911916474)), (38, np.float64(0.5229918449505364)), (22, np.float64(0.5182128351549128)), (39, np.float64(0.5039947146119106)), (107, np.float64(0.4758196737709217))]"
17,70,0.49903508178223627,"[(70, np.float64(0.49903508178223627)), (27, np.float64(0.4814985952062639)), (2, np.float64(0.4635370547506415)), (25, np.float64(0.4601293631481361)), (105, np.float64(0.4455282986816028))]"
18,30,0.8903462925348127,"[(30, np.float64(0.8903462925348127)), (32, np.float64(0.8449932240509744)), (98, np.float64(0.5482908843557753)), (65, np.float64(0.5017772041311063)), (112, np.float64(0.4721676359105328))]"
19,107,0.7469426138116939,"[(107, np.float64(0.7469426138116939)), (39, np.float64(0.6554999924121965)), (118, np.float64(0.5703468535501214)), (22, np.float64(0.564410681823561)), (126, np.float64(0.5525899943955978))]"
20,1,0.6990691570898138,"[(1, np.float64(0.6990691570898138)), (126, np.float64(0.5838189485362884)), (104, np.float64(0.5497985590701843)), (99, np.float64(0.5052646982581963)), (100, np.float64(0.47921956485819606))]"
21,9,0.5101866669495998,"[(9, np.float64(0.5101866669495998)), (83, np.float64(0.4394544546653337)), (16, np.float64(0.43905223789142045)), (99, np.float64(0.37772129936215876)), (22, np.float64(0.3728624986863738))]"
22,104,0.6483305640325141,"[(104, np.float64(0.6483305640325141)), (126, np.float64(0.5921915817761776)), (107, np.float64(0.5662930166563407)), (19, np.float64(0.564410681823561)), (39, np.float64(0.5259467250077685))]"
23,118,0.4151586072854909,"[(118, np.float64(0.4151586072854909)), (22, np.float64(0.37652682269681514)), (126, np.float64(0.3466760683732878)), (83, np.float64(0.34616453318500207)), (14, np.float64(0.3422131442394672))]"
