0,0x5c7ba359fde0,5
1,0x6529abcebe08,3
2,0x5c94466d9e30,4
3,0x5e65918305c0,1
4,0x6362228885e0,1
5,0x58168da6f600,1
6,0x644319b2e620,1
7,0x5eecdbf9b640,1
8,0x58c5974fd660,1
9,0x5866aef58d10,1
10,0x64bc27cec6a0,1
11,0x64d608ab6690,1
12,0x6245382976e0,1
13,0x5cdaee0e9700,1
14,0x5ccc64f13720,1
15,0x5c23bf361740,1
16,0x58ab59784760,1
17,0x654a83755780,1
18,0x60676c78b7a0,1
19,0x5604506297c0,1
20,0x5eb8e66827e0,1
21,0x5a9f47319800,1
22,0x606d35fd0820,1
23,0x622e2dfcd840,1
24,0x5cf7ddcee860,1
25,0x623faf818880,1
26,0x5e143128a8a0,1
27,0x6177765ff8c0,1
28,0x64f9756c68e0,1
29,0x5ed61d0db900,1
